chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16416,32636,32635,32636,32635
0,0,0,16544,-4,-5,-4,-5
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
-4,-5,-4,-5,-11,-2,0,0
