chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
1131,-31872,-32734,2144,31018,-32763,0,0
1293,1011,-32748,2379,-2066,13,0,0
1067,982,-32752,-30700,31049,-32758,0,0
773,913,12,-30564,31102,-32755,0,0
671,823,-32760,2353,31100,2,0,0
732,-31912,-32756,-30737,-1670,-1,0,0
1006,-31800,-32737,-30614,31017,6,0,0
1240,-31885,24,-30473,-2076,6,0,0
1166,-32008,-32745,-30865,-1733,-32757,0,0
759,-31854,6,2166,31095,9,0,0
657,-31876,-32762,-30592,31099,9,0,0
927,926,-32758,1888,31099,-32759,0,0
1263,893,6,2383,31102,13,0,0
1212,-31863,11,-30868,-1662,-32747,0,0
791,-31825,12,-31117,31096,-32754,0,0
653,-31836,-32751,-30985,-1678,-32762,0,0
839,890,-32755,-30999,-1677,0,0,0
1177,878,-32756,2016,-1676,32766,0,0
1260,-31842,11,1784,-1664,-1,0,0
850,-31821,-32755,2131,-1666,2,0,0
773,936,-32754,2283,-1674,-32761,0,0
1075,-31881,-32756,2575,31010,13,0,0
1316,889,-32760,2475,-2079,-32743,0,0
1203,913,-32754,-30729,-1728,12,0,0
737,-31922,-32753,1897,-1669,7,0,0
811,-31871,10,-30734,31099,7,0,0
1189,1019,20,-30314,31098,11,0,0
1327,1030,-32738,2474,-1741,7,0,0
1285,1007,18,2208,30698,12,0,0
1203,879,-32760,-30788,-1803,-32754,0,0
1081,808,-32759,-30751,30620,-32763,0,0
792,-31887,26,-30803,-2200,-32760,0,0
648,902,18,1927,30639,-32768,0,0
995,776,-32761,1951,31044,-32763,0,0
1265,910,-32757,-30649,-1674,-32762,0,0
1221,923,-32754,-30612,-1752,32767,0,0
839,919,11,-30576,30618,-32768,0,0
580,-31853,19,2227,30643,-32765,0,0
649,924,12,2058,-1723,6,0,0
870,-31917,-32750,2125,31102,-32758,0,0
1161,-31853,-32753,2106,-1666,-32754,0,0
1273,948,17,2092,31100,-32764,0,0
1252,877,-32746,1910,31099,-32749,0,0
1108,-31839,-32760,1796,31094,-32755,0,0
958,952,-32759,-31082,31096,11,0,0
685,-31875,-32761,2124,-1669,6,0,0
678,-31826,11,-30459,31090,3,0,0
821,903,-32758,-30848,31092,3,0,0
1088,-31944,-32756,1852,-1679,8,0,0
1218,810,-32759,1964,31014,-32752,0,0
954,-31967,7,1922,30609,14,0,0
687,846,13,1927,-2221,-32761,0,0
640,-31822,11,-30429,30638,1,0,0
821,1009,12,2274,-1727,7,0,0
1170,945,7,2233,-1747,5,0,0
1259,-31871,-32758,-30436,30698,13,0,0
1133,-31914,17,2535,31048,-32747,0,0
808,773,19,-30318,31096,-32749,0,0
691,-31914,-32750,-30786,31093,-32764,0,0
914,-31872,-32752,-30912,31089,5,0,0
1089,895,-32760,2080,31084,-32758,0,0
1285,938,-32757,-30921,-1676,-32761,0,0
1218,873,9,2266,31093,4,0,0
1078,933,-32761,2577,-1678,-32765,0,0
753,959,-32763,-30664,-1669,3,0,0
701,-31864,-32765,-30891,-1673,1,0,0
903,-31927,1,-30741,-1670,3,0,0
1182,797,-32762,-30471,31093,-32757,0,0
1164,836,-32755,-30611,31101,-32757,0,0
815,899,12,2241,31097,6,0,0
606,1018,-32760,-30698,-1670,-32763,0,0
714,-31829,18,2093,31016,-32762,0,0
825,942,8,1572,-2075,-32761,0,0
1089,854,-32762,-31095,-1734,-32760,0,0
1156,-31833,-32751,-30649,-1678,-32766,0,0
933,-31869,30,-30441,31094,6,0,0
702,-31911,16,2246,31094,13,0,0
729,-31941,-32763,2031,-1673,7,0,0
878,-31856,-32756,1949,31098,-32755,0,0
1170,982,-32748,-30602,-1669,-32762,0,0
1217,-31814,15,2304,-1667,-32761,0,0
